index,year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code
0,2013,tt1711425,21 &amp; Over,notalk,notalk,FAIL,13000000,25682380.0,42195766.0,2013FAIL,13000000,25682380.0,42195766.0,1.0,1.0
1,2012,tt1343727,Dredd 3D,ok-disagree,ok,PASS,45000000,13414714.0,40868994.0,2012PASS,45658735,13611086.0,41467257.0,1.0,1.0
2,2013,tt2024544,12 Years a Slave,notalk-disagree,notalk,FAIL,20000000,53107035.0,158607035.0,2013FAIL,20000000,53107035.0,158607035.0,1.0,1.0
3,2013,tt1272878,2 Guns,notalk,notalk,FAIL,61000000,75612460.0,132493015.0,2013FAIL,61000000,75612460.0,132493015.0,1.0,1.0
4,2013,tt0453562,42,men,men,FAIL,40000000,95020213.0,95020213.0,2013FAIL,40000000,95020213.0,95020213.0,1.0,1.0
5,2013,tt1335975,47 Ronin,men,men,FAIL,225000000,38362475.0,145803842.0,2013FAIL,225000000,38362475.0,145803842.0,1.0,1.0
6,2013,tt1606378,A Good Day to Die Hard,notalk,notalk,FAIL,92000000,67349198.0,304249198.0,2013FAIL,92000000,67349198.0,304249198.0,1.0,1.0
7,2013,tt2194499,About Time,ok-disagree,ok,PASS,12000000,15323921.0,87324746.0,2013PASS,12000000,15323921.0,87324746.0,1.0,1.0
8,2013,tt1814621,Admission,ok,ok,PASS,13000000,18007317.0,18007317.0,2013PASS,13000000,18007317.0,18007317.0,1.0,1.0
9,2013,tt1815862,After Earth,notalk,notalk,FAIL,130000000,60522097.0,244373198.0,2013FAIL,130000000,60522097.0,244373198.0,1.0,1.0
10,2013,tt1800241,American Hustle,ok-disagree,ok,PASS,40000000,148430908.0,249484909.0,2013PASS,40000000,148430908.0,249484909.0,1.0,1.0
11,2013,tt1322269,August: Osage County,ok,ok,PASS,25000000,37304874.0,50304874.0,2013PASS,25000000,37304874.0,50304874.0,1.0,1.0
12,2013,tt1559547,Beautiful Creatures,ok,ok,PASS,50000000,19452138.0,55940671.0,2013PASS,50000000,19452138.0,55940671.0,1.0,1.0
13,2013,tt2334873,Blue Jasmine,ok-disagree,ok,PASS,18000000,33345833.0,68447831.0,2013PASS,18000000,33345833.0,68447831.0,1.0,1.0
14,2013,tt1535109,Captain Phillips,notalk,notalk,FAIL,55000000,107136417.0,218743570.0,2013FAIL,55000000,107136417.0,218743570.0,1.0,1.0
15,2013,tt1939659,Carrie,ok,ok,PASS,30000000,35266619.0,85001659.0,2013PASS,30000000,35266619.0,85001659.0,1.0,1.0
16,2013,tt1985966,Cloudy with a Chance of Meatballs 2,nowomen-disagree,nowomen,FAIL,78000000,119640264.0,271725448.0,2013FAIL,78000000,119640264.0,271725448.0,1.0,1.0
17,2013,tt1690953,Despicable Me 2,ok,ok,PASS,76000000,368065385.0,970766005.0,2013PASS,76000000,368065385.0,970766005.0,1.0,1.0
18,2013,tt2229499,Don Jon,dubious-disagree,dubious,FAIL,5500000,24477704.0,26377704.0,2013FAIL,5500000,24477704.0,26377704.0,1.0,1.0
19,2013,tt1535108,Elysium,ok-disagree,ok,PASS,120000000,93050117.0,286192091.0,2013PASS,120000000,93050117.0,286192091.0,1.0,1.0
20,2013,tt1731141,Ender&#39;s Game,men,men,FAIL,110000000,61737191.0,89737191.0,2013FAIL,110000000,61737191.0,89737191.0,1.0,1.0
21,2013,tt0848537,Epic,ok-disagree,ok,PASS,100000000,107518682.0,268418682.0,2013PASS,100000000,107518682.0,268418682.0,1.0,1.0
22,2013,tt0765446,Escape from Planet Earth,ok,ok,PASS,40000000,57012977.0,66454811.0,2013PASS,40000000,57012977.0,66454811.0,1.0,1.0
23,2013,tt1211956,Escape Plan,men,men,FAIL,70000000,25213103.0,103813103.0,2013FAIL,70000000,25213103.0,103813103.0,1.0,1.0
24,2013,tt1288558,Evil Dead,ok-disagree,ok,PASS,17000000,54239856.0,97402049.0,2013PASS,17000000,54239856.0,97402049.0,1.0,1.0
25,2013,tt1905041,Fast and Furious 6,ok-disagree,ok,PASS,160000000,238679850.0,788128122.0,2013PASS,160000000,238679850.0,788128122.0,1.0,1.0
26,2013,tt2294629,Frozen,ok,ok,PASS,150000000,393050114.0,1004550114.0,2013PASS,150000000,393050114.0,1004550114.0,1.0,1.0
27,2013,tt1583421,G.I. Joe: Retaliation,ok-disagree,ok,PASS,140000000,122523060.0,371923060.0,2013PASS,140000000,122523060.0,371923060.0,1.0,1.0
28,2013,tt1321870,Gangster Squad,notalk,notalk,FAIL,60000000,46000903.0,104100903.0,2013FAIL,60000000,46000903.0,104100903.0,1.0,1.0
29,2013,tt2425486,Gloria,ok,ok,PASS,30000000,4167493.0,4967493.0,2013PASS,30000000,4167493.0,4967493.0,1.0,1.0
30,2013,tt1454468,Gravity,nowomen-disagree,nowomen,FAIL,110000000,271814796.0,708714796.0,2013FAIL,110000000,271814796.0,708714796.0,1.0,1.0
31,2013,tt2191701,Grown Ups 2,men-disagree,men,FAIL,80000000,133668525.0,247023808.0,2013FAIL,80000000,133668525.0,247023808.0,1.0,1.0
32,2013,tt1428538,Hansel &amp; Gretel: Witch Hunters,ok,ok,PASS,50000000,55703475.0,225703475.0,2013PASS,50000000,55703475.0,225703475.0,1.0,1.0
33,2013,tt1798709,Her,men-disagree,men,FAIL,23000000,25000178.0,33029713.0,2013FAIL,23000000,25000178.0,33029713.0,1.0,1.0
34,2013,tt2024432,Identity Thief,men-disagree,men,FAIL,35000000,134506920.0,176269721.0,2013FAIL,35000000,134506920.0,176269721.0,1.0,1.0
35,2013,tt2226417,Insidious: Chapter 2,men,men,FAIL,5000000,83586447.0,161911222.0,2013FAIL,5000000,83586447.0,161911222.0,1.0,1.0
36,2013,tt1300854,Iron Man 3,dubious-disagree,dubious,FAIL,200000000,408992272.0,1212692272.0,2013FAIL,200000000,408992272.0,1212692272.0,1.0,1.0
37,2013,tt1351685,Jack the Giant Slayer,nowomen-disagree,nowomen,FAIL,195000000,65187603.0,197387603.0,2013FAIL,195000000,65187603.0,197387603.0,1.0,1.0
38,2013,tt1650554,Kick-Ass 2,ok,ok,PASS,28000000,28795985.0,60839197.0,2013PASS,28000000,28795985.0,60839197.0,1.0,1.0
39,2013,tt1204975,Last Vegas,notalk,notalk,FAIL,28000000,63914167.0,112914167.0,2013FAIL,28000000,63914167.0,112914167.0,1.0,1.0
40,2013,tt1327773,Lee Daniels&#39; The Butler,ok,ok,PASS,30000000,116632095.0,151513429.0,2013PASS,30000000,116632095.0,151513429.0,1.0,1.0
41,2013,tt2002718,Machete Kills,ok,ok,PASS,2000000,8008161.0,9408161.0,2013PASS,2000000,8008161.0,9408161.0,1.0,1.0
42,2013,tt2023587,Mama,ok,ok,PASS,15000000,71628180.0,148041253.0,2013PASS,15000000,71628180.0,148041253.0,1.0,1.0
43,2013,tt0770828,Man of Steel,ok-disagree,ok,PASS,225000000,291045518.0,687999518.0,2013PASS,225000000,291045518.0,687999518.0,1.0,1.0
44,2013,tt1821549,Nebraska,ok-disagree,ok,PASS,12000000,17482517.0,17482517.0,2013PASS,12000000,17482517.0,17482517.0,1.0,1.0
45,2013,tt1670345,Now You See Me,notalk-disagree,notalk,FAIL,75000000,117723989.0,351723989.0,2013FAIL,75000000,117723989.0,351723989.0,1.0,1.0
46,2013,tt1483013,Oblivion,men-disagree,men,FAIL,120000000,89107235.0,287537983.0,2013FAIL,120000000,89107235.0,287537983.0,1.0,1.0
47,2013,tt2302755,Olympus Has Fallen,notalk,notalk,FAIL,70000000,98927592.0,150562164.0,2013FAIL,70000000,98927592.0,150562164.0,1.0,1.0
48,2013,tt1623205,Oz the Great and Powerful,ok-disagree,ok,PASS,200000000,234770996.0,489570996.0,2013PASS,200000000,234770996.0,489570996.0,1.0,1.0
49,2013,tt1663662,Pacific Rim,notalk-disagree,notalk,FAIL,190000000,101802906.0,411002906.0,2013FAIL,190000000,101802906.0,411002906.0,1.0,1.0
